fy_end,sales_cr,expenses_cr,op_profit_cr,opm_pct,other_income_cr,interest_cr,depreciation_cr,pbt_cr,tax_pct,net_profit_cr
2015-03-31,203,156,47,23,5,12,25,15,-68,25
2016-03-31,225,176,49,22,3,9,30,12,-75,21
2017-03-31,189,153,36,19,-2,11,39,-15,-68,-5
2018-03-31,194,150,44,23,4,12,40,-4,0,-4
2019-03-31,233,174,59,25,3,10,41,11,10,10
2020-03-31,240,179,61,26,3,20,51,-6,138,-15
2021-03-31,237,172,65,27,3,17,49,2,98,0
2022-03-31,286,216,70,25,4,18,51,4,58,2
2023-03-31,418,329,89,21,8,22,52,22,38,13
2024-03-31,503,402,102,20,7,24,59,25,50,13
2025-03-31,553,463,89,16,4,24,63,6,5,6
2026-03-31,604,514,91,15,1,27,68,-3,-229,3
