quarter_end,sales_cr,expenses_cr,op_profit_cr,opm_pct,other_income_cr,interest_cr,depreciation_cr,pbt_cr,tax_pct,net_profit_cr
2023-06-30,128.77,104.55,24.22,18.81,1.20,5.60,13.61,6.21,45.57,3.38
2023-09-30,124.02,100.01,24.01,19.36,1.53,6.05,14.83,4.66,37.12,2.93
2023-12-31,124.05,97.72,26.33,21.23,1.17,5.86,15.10,6.54,35.02,4.25
2024-03-31,126.54,99.54,27.00,21.34,2.86,6.29,15.73,7.84,72.58,2.15
2024-06-30,140.23,116.79,23.44,16.72,0.77,5.98,15.71,2.52,28.97,1.79
2024-09-30,143.45,121.42,22.03,15.36,1.07,6.33,15.93,0.84,26.19,0.61
2024-12-31,131.85,112.09,19.76,14.99,2.07,6.35,16.09,-0.61,-1.64,-0.61
2025-03-31,137.01,112.96,24.05,17.55,0.33,5.78,15.34,3.26,-19.94,3.90
2025-06-30,162.70,138.35,24.35,14.97,0.74,5.63,15.51,3.95,35.44,2.54
2025-09-30,155.65,135.66,19.99,12.84,0.57,7.41,17.38,-4.23,-30.97,-2.91
2025-12-31,143.72,120.94,22.78,15.85,-1.48,7.07,17.42,-3.19,-41.38,-1.87
2026-03-31,142.31,118.52,23.79,16.72,1.06,6.65,17.28,0.92,-502.17,5.54
2026-06-30,177.68,149.07,28.61,16.10,2.32,6.52,17.38,7.03,35.42,4.55
