quarter_end,sales_cr,expenses_cr,op_profit_cr,opm_pct,other_income_cr,interest_cr,depreciation_cr,pbt_cr,tax_pct,net_profit_cr,quarter_idx,yoy_sales_growth_pct,qoq_sales_growth_pct,net_margin_pct,fiscal_quarter
2023-06-30,128.77,104.55,24.22,18.81,1.2,5.6,13.61,6.21,45.57,3.38,0,,,2.6248349770909374,Q1
2023-09-30,124.02,100.01,24.01,19.36,1.53,6.05,14.83,4.66,37.12,2.93,1,,-3.6887473790479297,2.3625221738429287,Q2
2023-12-31,124.05,97.72,26.33,21.23,1.17,5.86,15.1,6.54,35.02,4.25,2,,0.02418964683115199,3.4260378879484077,Q3
2024-03-31,126.54,99.54,27.0,21.34,2.86,6.29,15.73,7.84,72.58,2.15,3,,2.0072551390568405,1.6990674885411727,Q4
2024-06-30,140.23,116.79,23.44,16.72,0.77,5.98,15.71,2.52,28.97,1.79,4,8.899588413450331,10.818713450292394,1.2764743635456037,Q1
2024-09-30,143.45,121.42,22.03,15.36,1.07,6.33,15.93,0.84,26.19,0.61,5,15.666827930978865,2.296227626042935,0.4252352736144998,Q2
2024-12-31,131.85,112.09,19.76,14.99,2.07,6.35,16.09,-0.61,-1.64,-0.61,6,6.2877871825876674,-8.086441268734745,-0.46264694728858546,Q3
2025-03-31,137.01,112.96,24.05,17.55,0.33,5.78,15.34,3.26,-19.94,3.9,7,8.274063537221421,3.9135381114903334,2.8465075541931246,Q4
2025-06-30,162.7,138.35,24.35,14.97,0.74,5.63,15.51,3.95,35.44,2.54,8,16.023675390430014,18.750456171082398,1.5611555009219422,Q1
2025-09-30,155.65,135.66,19.99,12.84,0.57,7.41,17.38,-4.23,-30.97,-2.91,9,8.50470547229001,-4.333128457283331,-1.8695791840668168,Q2
2025-12-31,143.72,120.94,22.78,15.85,-1.48,7.07,17.42,-3.19,-41.38,-1.87,10,9.002654531664778,-7.664632187600384,-1.301141107709435,Q3
2026-03-31,142.31,118.52,23.79,16.72,1.06,6.65,17.28,0.92,-502.17,5.54,11,3.8683307787752863,-0.9810743111605902,3.892909844705221,Q4
2026-06-30,177.68,149.07,28.61,16.1,2.32,6.52,17.38,7.03,35.42,4.55,12,9.20712968653965,24.854191553650473,2.5607834308869877,Q1
